id,date,NDVI,crpname_eg,lat,lon
,15-10-2023,0.2540346682071686,Wheat,23.36021374,75.21748997
,15-10-2023,0.3164300322532654,Wheat,23.40278478,75.18682027
,15-10-2023,0.2226463109254837,Wheat,23.35200453,75.29360682
,15-10-2023,0.2477131336927414,Wheat,23.34251111,75.29017331
,15-10-2023,0.4991394281387329,Wheat,23.3305295,75.28419812
,15-10-2023,0.38298535346984863,Wheat,23.3702378,75.24503383
,15-10-2023,0.5990552306175232,Wheat,23.37206603,75.22754524
,15-10-2023,0.5300959348678589,Wheat,23.38039563,75.21625034
,15-10-2023,0.33292078971862793,Wheat,23.39891874,75.19395483
,15-10-2023,0.37833037972450256,Wheat,23.45697623,75.28043464
,15-10-2023,0.5051813721656799,Wheat,23.47205691,75.28250366
,15-10-2023,0.4497237503528595,Wheat,23.52216829,75.27090108
,15-10-2023,0.31729668378829956,Wheat,23.52233328,75.27093675
,15-10-2023,0.15907274186611176,Wheat,23.52233328,75.27063353
,15-10-2023,0.25822970271110535,Wheat,23.52223963,75.27061124
,15-10-2023,0.25822970271110535,Wheat,23.52227085,75.27062462
,15-10-2023,0.25822970271110535,Wheat,23.52226193,75.27063799
,15-10-2023,0.36818617582321167,Wheat,23.52223518,75.27067813
,15-10-2023,-0.040944882,Wheat,23.35455068,75.26959902
